1	2015	Ligue 1	Olympique de Marseille	FC Girondins de Bordeaux	516	526	2019-02-05 18:00:00	1	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
2	2021	Premier League	Everton FC	Manchester City FC	62	65	2019-02-06 19:45:00	0	1	0	2	2019-02-15 22:58:07	2019-02-15 22:58:07
3	2019	Serie A	SS Lazio	Empoli FC	110	445	2019-02-07 19:30:00	1	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
4	2003	Eredivisie	NAC Breda	AZ	681	682	2019-02-08 19:00:00	0	1	0	3	2019-02-15 22:58:07	2019-02-15 22:58:07
5	2002	Bundesliga	1. FSV Mainz 05	Bayer 04 Leverkusen	15	3	2019-02-08 19:30:00	1	4	1	5	2019-02-15 22:58:07	2019-02-15 22:58:07
6	2019	Serie A	AC Chievo Verona	AS Roma	106	100	2019-02-08 19:30:00	0	2	0	3	2019-02-15 22:58:07	2019-02-15 22:58:07
7	2015	Ligue 1	Dijon Football Côte d'Or	Olympique de Marseille	528	516	2019-02-08 19:45:00	1	0	1	2	2019-02-15 22:58:07	2019-02-15 22:58:07
8	2016	Championship	Aston Villa FC	Sheffield United FC	58	356	2019-02-08 19:45:00	0	1	3	3	2019-02-15 22:58:07	2019-02-15 22:58:07
9	2014	Primera Division	Real Valladolid CF	Villarreal CF	250	94	2019-02-08 20:00:00	0	0	0	0	2019-02-15 22:58:07	2019-02-15 22:58:07
10	2017	Primeira Liga	Moreirense FC	FC Porto	583	503	2019-02-08 20:30:00	0	0	1	1	2019-02-15 22:58:07	2019-02-15 22:58:07
11	2014	Primera Division	Getafe CF	RC Celta de Vigo	82	558	2019-02-09 12:00:00	1	1	3	1	2019-02-15 22:58:07	2019-02-15 22:58:07
12	2021	Premier League	Fulham FC	Manchester United FC	63	66	2019-02-09 12:30:00	0	2	0	3	2019-02-15 22:58:07	2019-02-15 22:58:07
13	2016	Championship	Middlesbrough FC	Leeds United AFC	343	341	2019-02-09 13:00:00	0	0	1	1	2019-02-15 22:58:07	2019-02-15 22:58:07
14	2002	Bundesliga	BV Borussia 09 Dortmund	TSG 1899 Hoffenheim	4	2	2019-02-09 14:30:00	2	0	3	3	2019-02-15 22:58:07	2019-02-15 22:58:07
15	2002	Bundesliga	Hannover 96	1. FC Nürnberg	8	14	2019-02-09 14:30:00	1	0	2	0	2019-02-15 22:58:07	2019-02-15 22:58:07
16	2002	Bundesliga	Borussia Mönchengladbach	Hertha BSC	18	9	2019-02-09 14:30:00	0	1	0	3	2019-02-15 22:58:07	2019-02-15 22:58:07
17	2002	Bundesliga	SC Freiburg	VfL Wolfsburg	17	11	2019-02-09 14:30:00	1	1	3	3	2019-02-15 22:58:07	2019-02-15 22:58:07
18	2002	Bundesliga	RB Leipzig	Eintracht Frankfurt	721	19	2019-02-09 14:30:00	0	0	0	0	2019-02-15 22:58:07	2019-02-15 22:58:07
19	2016	Championship	Blackburn Rovers FC	Bristol City FC	59	387	2019-02-09 15:00:00	0	0	0	1	2019-02-15 22:58:07	2019-02-15 22:58:07
20	2016	Championship	Swansea City AFC	Millwall FC	72	384	2019-02-09 15:00:00	1	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
21	2016	Championship	Queens Park Rangers FC	Birmingham City FC	69	332	2019-02-09 15:00:00	1	4	3	4	2019-02-15 22:58:07	2019-02-15 22:58:07
22	2016	Championship	Bolton Wanderers FC	Preston North End FC	60	1081	2019-02-09 15:00:00	0	1	1	2	2019-02-15 22:58:07	2019-02-15 22:58:07
23	2016	Championship	Nottingham Forest FC	Brentford FC	351	402	2019-02-09 15:00:00	1	0	2	1	2019-02-15 22:58:07	2019-02-15 22:58:07
24	2016	Championship	Derby County FC	Hull City AFC	342	322	2019-02-09 15:00:00	1	0	2	0	2019-02-15 22:58:07	2019-02-15 22:58:07
25	2016	Championship	Sheffield Wednesday FC	Reading FC	345	355	2019-02-09 15:00:00	0	0	0	0	2019-02-15 22:58:07	2019-02-15 22:58:07
26	2016	Championship	Rotherham United FC	Wigan Athletic FC	385	75	2019-02-09 15:00:00	1	1	1	1	2019-02-15 22:58:07	2019-02-15 22:58:07
27	2021	Premier League	Liverpool FC	AFC Bournemouth	64	1044	2019-02-09 15:00:00	2	0	3	0	2019-02-15 22:58:07	2019-02-15 22:58:07
28	2021	Premier League	Huddersfield Town AFC	Arsenal FC	394	57	2019-02-09 15:00:00	0	2	1	2	2019-02-15 22:58:07	2019-02-15 22:58:07
29	2021	Premier League	Southampton FC	Cardiff City FC	340	715	2019-02-09 15:00:00	0	0	1	2	2019-02-15 22:58:07	2019-02-15 22:58:07
30	2021	Premier League	Crystal Palace FC	West Ham United FC	354	563	2019-02-09 15:00:00	0	1	1	1	2019-02-15 22:58:07	2019-02-15 22:58:07
31	2021	Premier League	Watford FC	Everton FC	346	62	2019-02-09 15:00:00	0	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
32	2014	Primera Division	Club Atlético de Madrid	Real Madrid CF	78	86	2019-02-09 15:15:00	1	2	1	3	2019-02-15 22:58:07	2019-02-15 22:58:07
33	2017	Primeira Liga	CS Marítimo	CD Aves	5575	5544	2019-02-09 15:30:00	0	1	0	1	2019-02-15 22:58:07	2019-02-15 22:58:07
34	2015	Ligue 1	Paris Saint-Germain FC	FC Girondins de Bordeaux	524	526	2019-02-09 16:00:00	1	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
35	2019	Serie A	ACF Fiorentina	SSC Napoli	99	113	2019-02-09 17:00:00	0	0	0	0	2019-02-15 22:58:07	2019-02-15 22:58:07
36	2002	Bundesliga	FC Bayern München	FC Schalke 04	5	6	2019-02-09 17:30:00	2	1	3	1	2019-02-15 22:58:07	2019-02-15 22:58:07
37	2003	Eredivisie	SC Heerenveen	PEC Zwolle	673	684	2019-02-09 17:30:00	1	1	1	1	2019-02-15 22:58:07	2019-02-15 22:58:07
38	2003	Eredivisie	Heracles Almelo	AFC Ajax	671	678	2019-02-09 17:30:00	1	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
39	2014	Primera Division	RCD Espanyol de Barcelona	Rayo Vallecano de Madrid	80	87	2019-02-09 17:30:00	0	1	2	1	2019-02-15 22:58:07	2019-02-15 22:58:07
40	2016	Championship	Stoke City FC	West Bromwich Albion FC	70	74	2019-02-09 17:30:00	0	1	0	1	2019-02-15 22:58:07	2019-02-15 22:58:07
41	2021	Premier League	Brighton & Hove Albion FC	Burnley FC	397	328	2019-02-09 17:30:00	0	1	1	3	2019-02-15 22:58:07	2019-02-15 22:58:07
42	2017	Primeira Liga	Portimonense SC	Rio Ave FC	5601	496	2019-02-09 18:00:00	0	1	0	1	2019-02-15 22:58:07	2019-02-15 22:58:07
43	2015	Ligue 1	RC Strasbourg Alsace	Angers SCO	576	532	2019-02-09 19:00:00	0	1	1	2	2019-02-15 22:58:07	2019-02-15 22:58:07
44	2015	Ligue 1	Amiens SC	SM Caen	530	514	2019-02-09 19:00:00	0	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
45	2019	Serie A	Parma Calcio 1913	FC Internazionale Milano	112	108	2019-02-09 19:30:00	0	0	0	1	2019-02-15 22:58:07	2019-02-15 22:58:07
46	2003	Eredivisie	Feyenoord Rotterdam	VBV De Graafschap	675	1913	2019-02-09 19:45:00	1	0	4	0	2019-02-15 22:58:07	2019-02-15 22:58:07
47	2003	Eredivisie	VVV Venlo	Willem II Tilburg	668	672	2019-02-09 19:45:00	1	0	2	1	2019-02-15 22:58:07	2019-02-15 22:58:07
48	2014	Primera Division	Girona FC	SD Huesca	298	299	2019-02-09 19:45:00	0	2	0	2	2019-02-15 22:58:07	2019-02-15 22:58:07
49	2017	Primeira Liga	CD Tondela	Vitória SC	1049	5543	2019-02-09 20:30:00	0	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
50	2014	Primera Division	CD Leganés	Real Betis Balompié	745	90	2019-02-10 11:00:00	2	0	3	0	2019-02-15 22:58:07	2019-02-15 22:58:07
51	2003	Eredivisie	Fortuna Sittard	SBV Excelsior	1920	670	2019-02-10 11:15:00	2	0	4	1	2019-02-15 22:58:07	2019-02-15 22:58:07
52	2019	Serie A	Bologna FC 1909	Genoa CFC	103	107	2019-02-10 11:30:00	1	1	1	1	2019-02-15 22:58:07	2019-02-15 22:58:07
53	2016	Championship	Norwich City FC	Ipswich Town FC	68	349	2019-02-10 12:00:00	1	0	3	0	2019-02-15 22:58:07	2019-02-15 22:58:07
54	2003	Eredivisie	FC Groningen	SBV Vitesse	677	679	2019-02-10 13:30:00	1	1	2	1	2019-02-15 22:58:07	2019-02-15 22:58:07
55	2003	Eredivisie	FC Emmen	ADO Den Haag	1914	680	2019-02-10 13:30:00	2	0	3	2	2019-02-15 22:58:07	2019-02-15 22:58:07
56	2021	Premier League	Tottenham Hotspur FC	Leicester City FC	73	338	2019-02-10 13:30:00	1	0	3	1	2019-02-15 22:58:07	2019-02-15 22:58:07
57	2015	Ligue 1	Montpellier HSC	AS Monaco FC	518	548	2019-02-10 14:00:00	0	1	2	2	2019-02-15 22:58:07	2019-02-15 22:58:07
58	2015	Ligue 1	Toulouse FC	Stade de Reims	511	547	2019-02-10 14:00:00	0	0	1	1	2019-02-15 22:58:07	2019-02-15 22:58:07
59	2015	Ligue 1	FC Nantes	Nîmes Olympique	543	556	2019-02-10 14:00:00	2	0	2	4	2019-02-15 22:58:07	2019-02-15 22:58:07
60	2019	Serie A	Atalanta BC	SPAL 2013	102	1107	2019-02-10 14:00:00	0	1	2	1	2019-02-15 22:58:07	2019-02-15 22:58:07
61	2019	Serie A	UC Sampdoria	Frosinone Calcio	584	470	2019-02-10 14:00:00	0	1	0	1	2019-02-15 22:58:07	2019-02-15 22:58:07
62	2019	Serie A	Torino FC	Udinese Calcio	586	115	2019-02-10 14:00:00	1	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
63	2002	Bundesliga	SV Werder Bremen	FC Augsburg	12	16	2019-02-10 14:30:00	3	0	4	0	2019-02-15 22:58:07	2019-02-15 22:58:07
64	2017	Primeira Liga	Sporting Clube de Braga	GD Chaves	5613	1103	2019-02-10 15:00:00	0	0	2	1	2019-02-15 22:58:07	2019-02-15 22:58:07
65	2017	Primeira Liga	Boavista FC	CD Santa Clara	810	5530	2019-02-10 15:00:00	0	0	1	0	2019-02-15 22:58:07	2019-02-15 22:58:07
66	2014	Primera Division	Valencia CF	Real Sociedad de Fútbol	95	92	2019-02-10 15:15:00	0	0	0	0	2019-02-15 22:58:08	2019-02-15 22:58:08
67	2003	Eredivisie	FC Utrecht	PSV	676	674	2019-02-10 15:45:00	2	0	2	2	2019-02-15 22:58:08	2019-02-15 22:58:08
68	2015	Ligue 1	Stade Rennais FC 1901	AS Saint-Étienne	529	527	2019-02-10 16:00:00	1	0	3	0	2019-02-15 22:58:08	2019-02-15 22:58:08
69	2015	Ligue 1	En Avant Guingamp	Lille OSC	538	521	2019-02-10 16:00:00	0	0	0	2	2019-02-15 22:58:08	2019-02-15 22:58:08
70	2021	Premier League	Manchester City FC	Chelsea FC	65	61	2019-02-10 16:00:00	4	0	6	0	2019-02-15 22:58:08	2019-02-15 22:58:08
71	2002	Bundesliga	TSV Fortuna 95 Düsseldorf	VfB Stuttgart	24	10	2019-02-10 17:00:00	1	0	3	0	2019-02-15 22:58:08	2019-02-15 22:58:08
72	2019	Serie A	US Sassuolo Calcio	Juventus FC	471	109	2019-02-10 17:00:00	0	1	0	3	2019-02-15 22:58:08	2019-02-15 22:58:08
73	2014	Primera Division	Sevilla FC	SD Eibar	559	278	2019-02-10 17:30:00	0	1	2	2	2019-02-15 22:58:08	2019-02-15 22:58:08
74	2017	Primeira Liga	Sport Lisboa e Benfica	CD Nacional	1903	5529	2019-02-10 17:30:00	3	0	10	0	2019-02-15 22:58:08	2019-02-15 22:58:08
75	2019	Serie A	AC Milan	Cagliari Calcio	98	104	2019-02-10 19:30:00	2	0	3	0	2019-02-15 22:58:08	2019-02-15 22:58:08
76	2014	Primera Division	Athletic Club	FC Barcelona	77	81	2019-02-10 19:45:00	0	0	0	0	2019-02-15 22:58:08	2019-02-15 22:58:08
77	2015	Ligue 1	OGC de Nice Côte d'Azur	Olympique Lyonnais	522	523	2019-02-10 20:00:00	0	0	1	0	2019-02-15 22:58:08	2019-02-15 22:58:08
78	2017	Primeira Liga	CD Feirense	Sporting Clube de Portugal	5565	498	2019-02-10 20:00:00	1	1	1	3	2019-02-15 22:58:08	2019-02-15 22:58:08
79	2014	Primera Division	Deportivo Alavés	Levante UD	263	88	2019-02-11 20:00:00	1	0	2	0	2019-02-15 22:58:08	2019-02-15 22:58:08
80	2021	Premier League	Wolverhampton Wanderers FC	Newcastle United FC	76	67	2019-02-11 20:00:00	0	0	1	1	2019-02-15 22:58:08	2019-02-15 22:58:08
81	2017	Primeira Liga	Vitória FC	CF Os Belenenses	5620	5568	2019-02-11 20:15:00	0	0	0	0	2019-02-15 22:58:08	2019-02-15 22:58:08
82	2016	Championship	Birmingham City FC	Bolton Wanderers FC	332	60	2019-02-12 19:45:00	0	0	0	1	2019-02-15 22:58:08	2019-02-15 22:58:08
83	2016	Championship	Hull City AFC	Rotherham United FC	322	385	2019-02-12 19:45:00	2	0	2	2	2019-02-15 22:58:08	2019-02-15 22:58:08
84	2016	Championship	Bristol City FC	Queens Park Rangers FC	387	69	2019-02-12 19:45:00	0	1	2	1	2019-02-15 22:58:08	2019-02-15 22:58:08
85	2016	Championship	Millwall FC	Sheffield Wednesday FC	384	345	2019-02-12 19:45:00	0	0	0	0	2019-02-15 22:58:08	2019-02-15 22:58:08
86	2001	UEFA Champions League	Manchester United FC	Paris Saint-Germain FC	66	524	2019-02-12 20:00:00	0	0	0	2	2019-02-15 22:58:08	2019-02-15 22:58:08
87	2001	UEFA Champions League	AS Roma	FC Porto	100	503	2019-02-12 20:00:00	0	0	2	1	2019-02-15 22:58:08	2019-02-15 22:58:08
88	2016	Championship	West Bromwich Albion FC	Nottingham Forest FC	74	351	2019-02-12 20:00:00	0	1	2	2	2019-02-15 22:58:08	2019-02-15 22:58:08
89	2015	Ligue 1	AS Saint-Étienne	RC Strasbourg Alsace	527	576	2019-02-13 18:00:00	2	0	2	1	2019-02-15 22:58:08	2019-02-15 22:58:08
90	2015	Ligue 1	SM Caen	FC Nantes	514	543	2019-02-13 18:30:00	0	0	0	1	2019-02-15 22:58:08	2019-02-15 22:58:08
91	2016	Championship	Preston North End FC	Norwich City FC	1081	68	2019-02-13 19:45:00	2	0	3	1	2019-02-15 22:58:08	2019-02-15 22:58:08
92	2016	Championship	Ipswich Town FC	Derby County FC	349	342	2019-02-13 19:45:00	0	1	1	1	2019-02-15 22:58:08	2019-02-15 22:58:08
93	2016	Championship	Wigan Athletic FC	Stoke City FC	75	70	2019-02-13 19:45:00	0	0	0	0	2019-02-15 22:58:08	2019-02-15 22:58:08
94	2016	Championship	Sheffield United FC	Middlesbrough FC	356	343	2019-02-13 19:45:00	0	0	1	0	2019-02-15 22:58:08	2019-02-15 22:58:08
95	2016	Championship	Leeds United AFC	Swansea City AFC	341	72	2019-02-13 19:45:00	2	0	2	1	2019-02-15 22:58:08	2019-02-15 22:58:08
96	2016	Championship	Brentford FC	Aston Villa FC	402	58	2019-02-13 19:45:00	0	0	1	0	2019-02-15 22:58:08	2019-02-15 22:58:08
97	2001	UEFA Champions League	Tottenham Hotspur FC	BV Borussia 09 Dortmund	73	4	2019-02-13 20:00:00	0	0	3	0	2019-02-15 22:58:08	2019-02-15 22:58:08
98	2001	UEFA Champions League	AFC Ajax	Real Madrid CF	678	86	2019-02-13 20:00:00	0	0	1	2	2019-02-15 22:58:08	2019-02-15 22:58:08
99	2016	Championship	Reading FC	Blackburn Rovers FC	355	59	2019-02-13 20:00:00	1	0	2	1	2019-02-15 22:58:08	2019-02-15 22:58:08
100	2015	Ligue 1	Nîmes Olympique	Dijon Football Côte d'Or	556	528	2019-02-15 18:00:00	1	0	2	0	2019-02-15 22:58:08	2019-02-15 22:58:08
101	2003	Eredivisie	ADO Den Haag	PEC Zwolle	680	684	2019-02-15 19:00:00	1	0	1	0	2019-02-15 22:58:08	2019-02-15 22:58:08
102	2002	Bundesliga	FC Augsburg	FC Bayern München	16	5	2019-02-15 19:30:00	2	2	2	3	2019-02-15 22:58:08	2019-02-15 22:58:08
103	2019	Serie A	Juventus FC	Frosinone Calcio	109	470	2019-02-15 19:30:00	2	0	3	0	2019-02-15 22:58:08	2019-02-15 22:58:08
104	2015	Ligue 1	Olympique Lyonnais	En Avant Guingamp	523	538	2019-02-15 19:45:00	2	1	2	1	2019-02-15 22:58:08	2019-02-15 22:58:08
105	2014	Primera Division	SD Eibar	Getafe CF	278	82	2019-02-15 20:00:00	0	1	2	2	2019-02-15 22:58:08	2019-02-15 22:58:08
106	2017	Primeira Liga	Rio Ave FC	CD Santa Clara	496	5530	2019-02-15 20:30:00	1	1	1	2	2019-02-15 22:58:08	2019-02-15 22:58:08
